uid,timestamp,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
19,1684051679658,6.523,0.307,25.883,0.425,73.224
20,1684051702705,10.455,0.861,171.052,0.327,231.542
7,1684052937365,6.92,0.578,58.13,0.275,332.261
17,1684053547438,6.836,0.439,29.659,1.585,83.045
4,1684053887620,6.702,1.94,106.763,0.178,161.022
10,1684055016302,6.906,2.027,31.482,1.175,87.104
19,1684056720431,6.071,0.329,24.028,0.416,69.327
20,1684056744055,7.384,3.521,139.264,0.416,196.916
7,1684057977923,9.73,1.953,32.117,1.183,142.385
7,1684060620617,7.556,1.985,23.996,2.417,143.686
20,1684061783935,8.247,1.698,98.2,0.163,159.382
8,1684063189511,6.384,0.47,61.193,0.327,123.19
6,1684064605817,7.383,1.625,18.38,0.762,137.37
19,1684066802159,6.078,0.329,28.042,0.499,74.214
20,1684066824620,6.153,1.625,28.467,0.597,86.075
15,1684067298165,6.835,1.317,107.39,0.27,165.762
16,1684068192618,7.65,2.353,22.428,1.293,81.892
20,1684069546164,7.47,1.874,31.118,0.353,91.809
6,1684069646619,8.283,1.449,22.684,1.631,148.749
15,1684070024357,7.459,1.475,75.543,0.119,139.885
10,1684070189259,6.622,1.208,24.903,1.927,76.716
15,1684072882513,7.026,1.281,20.264,1.332,108.91
6,1684074687921,9.372,2.774,21.238,1.554,104.308
20,1684074981808,6.241,0.481,23.819,1.889,90.26
10,1684075282588,6.2,1.29,18.566,1.185,138.419
15,1684075701262,8.585,1.048,58.693,0.153,204.469
8,1684078309879,7.033,1.28,47.167,0.064,102.273
16,1684078325494,7.607,1.709,59.99,0.067,118.161
7,1684078436851,8.246,1.698,30.309,0.957,157.056
10,1684080322516,41.545,0.241,39.929,0.526,121.286
15,1684081031227,6.531,1.378,52.546,0.19,144.196
17,1684081827888,6.909,0.724,53.996,0.222,111.419
15,1684083755357,6.036,1.491,133.69,0.045,254.878
17,1684084470596,6.605,0.908,61.872,0.291,104.314
6,1684084769175,8.431,2.372,24.034,1.248,115.052
8,1684088390102,7.372,0.543,31.737,0.252,79.203
18,1684111372298,6.899,0.29,28.771,0.591,130.884
5,1684115380039,7.492,0.801,25.104,0.916,134.684
2,1684123631395,7.203,0.278,30.195,0.729,78.941
1,1684134781937,6.634,0.603,36.853,0.461,87.627
20,1684135355035,7.325,0.819,63.859,0.298,120.733
7,1684137586140,9.685,2.581,22.2,1.892,85.832
20,1684138134025,16.248,0.185,21.419,0.093,149.642
7,1684140634699,8.284,0.724,33.444,0.748,192.458
20,1684143806195,7.573,1.188,21.211,2.593,86.735
1,1684147348374,6.201,0.968,21.5,0.698,70.294
16,1684149546297,7.409,1.485,19.159,1.357,100.148
1,1684151529651,6.615,1.361,22.795,0.746,75.792
7,1684151538296,9.283,1.616,34.372,0.873,174.988
11,1684152988603,6.758,0.444,30.127,0.498,90.412
19,1684153047571,6.522,0.307,86.562,0.127,234.12
9,1684153907280,7.094,1.41,17.15,0.583,70.683
7,1684154196982,8.035,1.742,38.186,0.236,171.981
20,1684154239497,6.817,0.88,31.752,0.504,85.774
15,1684154944160,7.216,0.554,31.002,0.484,132.019
11,1684155769268,6.149,0.325,25.619,0.468,88.155
15,1684157536680,6.9,0.87,41.868,0.191,142.66
19,1684158088335,7.589,0.264,25.623,0.351,74.006
11,1684158572696,6.193,0.323,25.943,0.617,92.105
9,1684158947642,6.657,1.502,15.721,0.954,61.685
4,1684158952010,6.855,1.459,18.559,1.67,66.167
16,1684159626317,7.678,2.344,19.036,1.366,93.721
15,1684160223481,65.294,0.199,21.422,1.727,161.678
8,1684160391480,28.351,0.6,58.458,0.12,129.374
11,1684161244138,7.445,0.672,25.88,0.734,98.169
20,1684162803496,6.747,1.186,46.5,0.409,106.944
15,1684162945335,6.935,1.298,25.322,0.711,108.378
10,1684163965328,6.665,0.75,42.597,0.47,126.998
9,1684163988153,6.592,1.517,15.651,0.831,60.448
11,1684163997425,6.587,0.607,27.182,0.736,88.918
8,1684165432544,7.055,1.984,21.986,1.592,75.597
15,1684165728995,7.213,0.832,106.103,0.141,220.187
11,1684167129004,8.508,0.94,27.92,1.11,126.109
7,1684167904994,9.501,1.684,25.106,1.992,99.935
15,1684168682619,7.017,1.425,39.782,0.679,100.767
4,1684169085902,6.621,2.266,31.514,0.508,86.715
8,1684175431696,6.698,0.597,19.041,1.471,86.17
18,1684176734864,8.495,1.648,39.653,0.227,94.075
8,1684180468572,6.779,0.885,21.614,1.851,79.524
18,1684191772828,6.799,0.294,9.707,1.236,68.059
2,1684205047279,20.397,0.098,18.834,1.274,103.928
2,1684210087576,6.342,0.473,13.531,0.739,63.243
1,1684217886858,6.207,0.322,31.195,0.545,79.557
20,1684219815461,7.964,1.507,32.585,0.43,90.411
20,1684224054742,16.465,0.121,55.12,0.236,110.953
20,1684224238016,7.114,1.546,43.341,0.531,105.529
4,1684225187966,6.633,1.357,22.156,0.948,75.98
20,1684226865592,6.486,0.308,21.112,1.847,78.016
20,1684229562363,6.826,0.293,34.308,2.507,189.486
13,1684230236657,8.683,0.921,43.242,0.879,207.304
11,1684231702757,6.488,0.771,37.27,0.51,92.257
11,1684237648090,6.649,0.451,26.812,0.783,89.129
15,1684238727502,7.174,0.697,44.574,0.337,165.627
9,1684240310497,27.266,0.77,16.662,0.9,90.818
16,1684240995917,6.901,1.739,30.001,0.133,96.296
15,1684241381922,10.075,0.893,30.099,0.93,143.865
11,1684242687864,6.853,0.73,34.558,0.492,91.873
20,1684243079204,7.188,1.669,93.62,0.182,198.203
16,1684243638793,6.27,1.595,17.613,1.363,69.883
15,1684244065131,6.864,1.311,131.21,0.061,370.961
9,1684245350448,6.769,1.477,16.436,0.608,61.105
11,1684245628069,7.173,1.115,25.322,0.632,74.336
17,1684248942490,6.847,0.292,19.452,1.851,73.007
7,1684250274579,8.309,1.685,29.195,0.856,163.536
9,1684250390622,7.127,1.403,37.275,0.08,83.461
1,1684251142987,7.762,0.644,19.436,0.463,65.063
17,1684251596120,6.06,0.33,48.858,0.368,93.34
8,1684251725622,7.054,1.276,41.049,0.658,95.191
15,1684252013669,7.097,0.705,28.007,0.5,116.803
16,1684252373347,6.797,1.471,20.692,1.208,70.832
7,1684252887274,7.891,1.774,43.834,0.662,236.42
11,1684253519511,6.449,0.31,25.883,0.618,70.804
17,1684254304805,6.583,0.304,19.484,1.694,69.851
6,1684254681024,10.422,1.247,40.437,0.495,137.582
10,1684255323531,6.689,1.495,41.616,0.649,98.551
4,1684255435231,6.476,2.162,30.907,0.388,77.781
15,1684256425817,6.822,1.319,38.499,0.208,166.192
8,1684256766062,6.615,0.454,34.344,0.815,78.268
17,1684257055950,6.725,0.297,57.287,0.698,97.526
6,1684259721934,8.596,1.861,32.497,0.154,240.642
18,1684266738130,6.33,0.316,31.764,0.472,137.282
8,1684266846633,11.504,0.869,32.14,0.996,95.275
5,1684288180385,7.602,1.315,41.308,0.46,174.49
1,1684301143264,6.891,0.726,19.065,0.367,71.952
1,1684311365543,6.795,0.736,28.524,0.175,74.77
11,1684313198750,9.132,1.205,31.581,0.728,100.187
17,1684317891977,29.383,0.068,32.599,0.767,104.805
11,1684318889926,6.732,1.485,29.248,0.855,78.308
19,1684320682142,21.495,0.093,26.424,0.416,88.069
11,1684321700809,7.075,1.555,16.508,0.969,72.78
7,1684322689190,8.446,2.368,34.726,1.526,173.816
17,1684322931056,6.863,0.729,17.863,1.512,72.165
1,1684323427292,6.466,0.928,39.632,0.278,89.794
7,1684325356740,8.874,1.803,37.662,0.69,185.699
14,1684326432190,6.717,1.191,14.14,2.758,66.756
9,1684326712528,8.775,2.165,32.633,0.184,85.569
4,1684326719687,6.253,1.759,20.787,1.876,70.386
17,1684328216070,6.029,0.498,41.812,0.454,143.65
7,1684328291635,7.699,2.208,23.889,1.381,94.135
14,1684329127479,14.365,0.766,12.292,2.359,72.683
11,1684329774057,29.74,0.303,26.427,0.53,105.655
19,1684330762424,11.397,0.088,21.17,0.472,91.573
17,1684330860678,5.954,0.84,45.726,0.569,95.03
7,1684330938760,7.246,0.828,30.901,1.003,139.481
16,1684331618221,7.293,2.194,19.469,1.233,77.301
9,1684331752945,9.967,2.107,18.162,0.936,67.529
4,1684331760852,7.011,1.712,23.737,1.095,98.805
11,1684332621462,6.613,0.302,71.452,0.196,120.243
7,1684333594135,9.657,1.864,27.447,0.51,197.615
16,1684335691635,6.134,0.978,45.386,0.264,94.994
7,1684336246877,8.555,1.403,22.694,1.807,230.699
9,1684336793509,9.711,2.162,18.509,0.432,76.557
7,1684339102428,9.044,2.101,30.574,0.621,93.655
16,1684339246395,6.358,1.101,20.359,1.474,64.993
17,1684340556104,6.594,0.758,31.767,0.724,75.323
9,1684341833657,6.968,1.435,16.378,1.038,61.272
4,1684341842877,6.722,1.785,15.928,1.256,141.384
15,1684342996157,8.914,0.785,36.865,0.271,177.633
17,1684343662755,6.432,0.311,29.17,0.754,78.551
8,1684348100932,6.631,0.905,17.139,0.934,64.263
18,1684348240465,8.786,1.366,9.045,1.327,68.798
8,1684353193463,6.743,1.335,62.181,0.289,116.805
12,1684356072332,7.608,0.526,64.629,0.356,368.491
2,1684372791492,24.08,0.249,32.372,0.432,119.781
2,1684380473908,6.544,0.306,20.408,0.882,66.827
10,1684397983791,6.188,0.97,59.142,0.287,178.936
1,1684398507113,33.041,0.182,112.704,0.053,195.559
4,1684403045141,6.804,2.058,34.079,0.587,95.335
19,1684407087128,6.816,0.293,99.108,0.101,146.412
4,1684408085756,6.502,1.999,30.089,0.532,87.247
16,1684408786783,7.478,1.605,32.108,0.311,105.541
15,1684409502334,7.59,0.527,42.384,0.661,188.942
13,1684411901586,6.669,0.6,17.739,1.127,70.555
9,1684413115184,7.679,2.865,96.605,0.114,154.708
4,1684413126919,6.177,2.105,28.976,0.725,85.968
19,1684414159807,6.114,0.491,21.645,0.508,65.565
17,1684414202327,6.746,0.889,48.341,0.414,123.345
16,1684416469558,11.14,0.628,22.789,0.395,255.584
11,1684416819917,6.328,0.474,137.29,0.124,195.06
9,1684418155513,7.098,1.409,16.869,0.889,70.578
4,1684418167845,6.479,1.389,36.116,0.526,101.184
13,1684418926150,6.36,0.472,16.837,1.069,72.249
8,1684419605095,6.57,0.457,19.0,1.263,77.16
13,1684419809886,6.58,0.456,34.539,0.058,203.338
17,1684420020126,6.913,0.868,31.613,1.044,90.276
15,1684420108569,6.818,1.32,18.909,1.005,72.752
11,1684422043836,6.547,0.458,27.525,0.472,71.89
17,1684422662579,11.817,0.169,29.118,0.653,90.421
15,1684422737338,7.507,1.732,20.404,1.323,89.436
4,1684423208665,7.379,1.491,34.126,0.059,85.82
16,1684426557526,6.957,2.012,49.685,0.242,162.726
15,1684427670666,7.407,1.215,49.437,0.182,160.424
17,1684427702905,6.6,0.909,19.136,1.411,74.969
7,1684428209878,17.387,1.323,21.92,2.144,236.597
10,1684428226043,6.467,1.392,46.377,0.194,109.295
4,1684428249878,7.063,1.416,21.067,1.994,70.215
11,1684429828860,7.323,0.41,27.034,0.481,86.053
16,1684431590619,12.635,1.425,31.765,0.756,94.908
15,1684431882070,6.825,1.319,100.097,0.25,195.433
16,1684434232798,8.715,2.41,17.931,1.115,74.956
8,1684434642157,6.183,0.647,17.932,1.283,60.719
16,1684437056557,9.513,2.418,19.308,1.916,74.305
5,1684471124291,6.904,1.448,25.386,1.024,89.202
2,1684484005879,6.682,0.748,19.311,0.932,68.036
7,1684487014598,11.288,1.86,28.021,0.5,267.653
11,1684487409463,6.598,0.303,50.63,0.336,108.66
19,1684488411752,6.501,0.308,20.261,0.691,71.892
4,1684489391990,6.032,1.824,22.968,1.219,67.44
11,1684490117984,6.187,0.97,27.599,1.015,79.34
7,1684490234353,8.771,2.508,31.123,0.964,87.694
4,1684494433451,6.696,1.344,29.213,0.548,77.675
13,1684494479432,34.098,0.205,163.391,0.129,287.714
9,1684494529481,6.903,1.449,49.007,0.102,104.475
11,1684495331954,6.429,0.467,60.106,0.449,112.97
7,1684495593026,8.853,1.807,42.723,0.328,124.912
20,1684495920883,32.766,0.153,18.669,1.178,109.071
11,1684498033543,7.297,0.685,134.17,0.149,192.632
4,1684499474744,6.358,2.045,22.661,1.015,67.704
13,1684502199979,6.108,0.491,28.481,0.913,94.416
11,1684503887108,6.654,0.751,28.176,0.71,82.109
4,1684504514771,6.097,1.476,17.228,1.567,62.67
9,1684504610073,7.177,1.393,15.81,0.253,76.928
13,1684504620214,7.419,1.213,60.303,0.481,117.649
8,1684511024348,6.37,0.314,32.24,0.713,94.276
17,1684512912141,6.443,0.466,20.171,1.983,56.265
10,1684514734322,6.427,0.934,65.912,0.561,137.738
11,1684534789209,8.616,0.232,21.905,0.639,80.75
4,1684541956602,6.251,1.92,28.436,0.352,75.762
11,1684543199484,6.537,0.306,70.645,0.411,119.868
9,1684543431080,8.263,1.21,28.434,0.211,167.515
4,1684546997742,7.191,2.086,16.761,1.134,66.642
11,1684548241376,6.469,0.464,27.558,1.016,90.469
2,1684556368206,6.62,0.906,40.972,0.732,91.02
4,1684557753909,6.223,2.25,28.184,0.319,71.242
19,1684559989148,6.838,0.439,21.87,0.457,69.357
4,1684562035954,6.383,1.567,34.482,0.406,94.683
19,1684565029619,8.052,0.373,32.705,0.397,102.99
6,1684565784150,8.836,1.811,18.176,1.761,429.408
2,1684566448583,6.274,0.797,20.312,1.231,147.263
4,1684567077467,6.296,2.065,58.002,0.034,111.962
6,1684569343216,8.159,2.451,21.74,2.116,262.349
4,1684572118044,28.122,0.462,59.704,0.486,126.684
17,1684579392652,6.368,0.942,28.672,0.314,73.713
17,1684582206214,6.011,0.499,31.752,0.976,79.305
6,1684582611407,8.239,2.427,32.572,1.044,211.85
7,1684583743298,28.015,0.607,42.685,0.047,114.904
7,1684586148836,11.625,1.72,20.682,2.224,257.258
15,1684587091026,6.938,1.297,37.239,0.322,89.187
17,1684587246579,6.457,0.929,47.62,0.966,87.036
14,1684587764819,7.856,0.891,12.951,2.471,65.325
17,1684592236363,6.348,0.315,17.266,1.622,63.15
7,1684594763027,34.198,0.673,22.197,1.622,102.734
15,1684595047140,6.921,1.3,55.237,0.272,347.046
8,1684596704833,42.068,0.238,22.874,1.836,104.501
15,1684600463691,6.241,1.442,66.265,0.377,176.491
15,1684603346676,7.104,1.267,24.416,1.065,129.451
8,1684606702709,7.746,1.678,37.204,1.451,90.585
18,1684609723752,7.004,0.857,7.978,0.627,80.373
4,1684628399571,5.998,1.501,21.315,1.079,77.038
4,1684633439648,6.44,2.019,30.351,0.725,85.489
11,1684634983078,6.285,0.477,89.587,0.335,163.591
1,1684638403664,6.173,0.972,37.768,0.106,243.206
4,1684638480708,6.424,2.179,15.251,0.59,59.198
5,1684639169371,7.127,1.403,25.881,1.661,84.517
4,1684643550428,6.0,1.167,41.168,0.024,84.863
5,1684644209892,7.53,0.797,20.053,1.546,89.126
11,1684647010276,6.287,0.477,27.934,1.002,88.761
4,1684648657173,6.201,2.096,28.192,0.071,74.777
11,1684649825400,6.446,0.31,24.884,1.246,72.877
19,1684651845830,6.042,0.331,22.76,0.439,66.107
4,1684653603956,6.235,2.085,63.244,0.079,103.358
7,1684654782084,7.935,2.016,19.61,1.632,83.596
10,1684654812026,11.047,1.086,94.583,0.116,237.965
19,1684656990461,6.468,0.928,22.67,0.353,139.314
7,1684657471529,7.47,2.142,30.702,0.651,82.912
10,1684659847529,7.404,1.08,52.828,0.398,121.931
15,1684660463273,6.844,0.877,19.63,1.121,84.533
13,1684662265733,8.761,0.571,21.48,0.931,80.981
15,1684665837784,6.851,1.314,21.366,1.03,84.165
17,1684665840883,6.204,0.967,44.093,0.59,86.115
7,1684667214326,27.622,0.543,24.511,1.51,146.922
8,1684668051317,8.5,1.882,20.827,2.593,74.206
15,1684668388494,26.124,0.345,40.368,0.644,175.891
7,1684669856412,29.598,0.507,36.045,1.221,102.232
15,1684671119261,7.209,1.526,26.598,0.526,147.114
7,1684672505880,6.402,0.937,20.888,2.25,65.724
15,1684673879475,6.905,1.303,17.761,0.845,99.401
7,1684675446678,7.494,1.201,35.955,0.89,196.885
15,1684676575175,9.221,0.976,19.755,1.417,119.1
15,1684680171676,6.801,1.323,63.707,0.549,139.751
15,1684682360396,7.438,1.21,37.647,1.089,130.93
15,1684687263863,6.99,1.288,17.544,0.798,160.185
7,1684688170812,9.158,1.856,30.577,0.883,125.185
2,1684723442724,6.283,0.318,23.843,0.839,79.225
2,1684726083537,6.08,0.329,80.108,0.325,120.937
20,1684740955178,7.202,1.25,32.059,0.468,90.281
7,1684744398210,27.752,0.541,35.203,0.795,121.787
11,1684745341520,4.039,3.219,24.895,1.125,71.752
20,1684746096716,8.656,0.924,18.248,0.986,86.319
11,1684747430720,6.011,0.333,56.947,0.562,105.186
11,1684748060193,6.146,0.488,22.647,1.016,72.333
4,1684748646519,6.409,2.028,27.0,0.519,68.697
20,1684748823623,7.599,0.921,18.534,1.133,86.845
19,1684749115673,49.658,0.04,20.789,0.481,109.768
11,1684750580721,6.486,0.308,99.306,0.312,151.713
19,1684751803186,5.867,0.341,24.824,0.443,120.591
4,1684753740179,6.184,0.97,40.446,0.47,81.277
15,1684757446845,59.844,0.084,13.117,0.61,179.855
15,1684760443766,6.789,1.326,23.191,0.431,125.433
11,1684762348247,6.785,0.295,32.173,1.026,79.233
15,1684762808924,74.738,0.054,36.263,0.441,242.97
10,1684763625396,7.263,0.964,38.361,0.834,230.472
4,1684763738014,6.131,1.468,27.403,0.547,75.33
8,1684765297963,7.414,1.079,17.988,1.89,125.865
15,1684765466897,7.956,1.131,20.111,1.392,136.313
14,1684765871611,7.677,1.433,9.941,2.314,117.476
3,1684767193880,8.008,1.748,27.804,0.827,93.929
7,1684767256660,7.086,1.27,19.424,1.802,73.583
15,1684768167212,6.924,1.3,22.401,1.25,98.453
10,1684768665609,6.475,0.927,9.005,1.777,58.176
4,1684768778897,5.987,1.67,42.676,0.117,85.431
15,1684770820721,9.799,0.918,134.029,0.075,284.29
3,1684771440535,79.278,0.101,27.419,0.729,258.834
17,1684772402958,6.239,0.962,56.153,0.392,103.668
20,1684827834932,8.448,1.302,59.384,0.185,136.897
4,1684831238360,6.93,1.876,61.827,0.534,115.498
4,1684836025233,6.428,2.022,32.743,0.458,88.914
15,1684836655973,34.255,0.292,22.724,0.528,181.921
4,1684841065677,7.386,2.031,17.551,1.652,86.154
15,1684841493322,7.703,1.168,25.755,0.466,110.042
11,1684845566453,7.81,0.896,70.354,0.242,152.477
15,1684846586155,7.078,1.272,25.043,0.399,225.314
13,1684848950410,6.05,0.496,31.402,0.191,88.715
11,1684849718542,6.364,0.629,76.786,0.26,129.193
4,1684851199258,6.402,1.406,24.812,0.363,74.597
15,1684851627026,6.596,1.364,18.574,1.723,114.134
11,1684852676764,6.298,0.794,19.538,1.535,81.776
13,1684854042854,9.317,1.073,24.954,0.842,84.306
11,1684855462808,9.33,0.214,24.594,1.138,73.056
4,1684856238870,6.111,1.636,24.639,0.487,68.67
15,1684856667507,6.656,1.352,17.18,0.524,147.771
3,1684856910837,8.811,1.021,17.705,1.186,82.5
10,1684860347227,6.579,0.912,24.27,1.442,77.671
1,1684860487198,6.813,0.881,25.279,0.396,78.469
8,1684871879079,7.42,0.539,29.33,0.955,86.429
20,1684901110412,7.148,1.119,65.937,0.121,134.928
3,1684914720082,6.203,1.29,17.899,0.838,83.352
20,1684918977054,6.202,1.129,75.435,0.04,134.278
1,1684920000410,7.031,1.138,21.484,0.884,68.279
3,1684920756665,8.383,1.431,75.598,0.053,241.459
4,1684921401402,6.612,2.269,27.018,0.444,81.962
20,1684924012383,6.304,1.11,16.551,1.208,70.212
4,1684926678692,7.001,1.857,16.914,1.419,64.14
20,1684929157442,6.15,1.463,25.993,1.539,122.042
11,1684930108958,7.164,0.279,82.246,0.316,127.32
