uid,startTime,aqara_chair,aqara_cleaner,aqara_door,aqara_fridge,aqara_microwave,aqara_motion,aqara_tv,aqara_washer,aqara_brightness_mean,aqara_brightness_min,aqara_brightness_max,aqara_air_pressure_mean,aqara_air_pressure_min,aqara_air_pressure_max,aqara_temperature_mean,aqara_temperature_min,aqara_temperature_max,aqara_humidity_mean,aqara_humidity_min,aqara_humidity_max
11.0,1684487409463.0,,,6,,,,,,112.105787,0.0,302.0,100730.196078,100600.0,100860.0,2711.863636,2658.0,2741.0,5370.136364,5167.0,5804.0
9.0,1684494529481.0,2,3,2,,,30,,,11.068376,0.0,42.0,100580.119048,100480.0,100720.0,2490.333333,2468.0,2514.0,5523.333333,5486.0,5559.0
17.0,1686059276959.0,13,,,7,,88,2.4800000000000004,,56.582143,0.0,143.0,100537.539683,100300.0,100800.0,3071.933333,3032.0,3135.0,4731.384615,4601.0,4875.0
17.0,1686150668134.0,21,,1,3,,156,2.6000000000000005,,55.128924,0.0,103.0,100473.518519,100400.0,100610.0,3036.297619,2956.0,3189.0,4778.357143,4450.0,5318.0
10.0,1686242660757.0,10,,1,3,,37,,5,189.142857,168.0,225.0,99999.772727,99800.0,100200.0,2670.285714,2646.0,2691.0,5799.857143,5590.0,6407.0
15.0,1683897659316.0,40,,3,1,,139,,,60.944444,0.0,181.0,101739.0625,101680.0,101800.0,2648.357143,2626.0,2663.0,5689.142857,4620.0,6081.0
19.0,1685175466824.0,,1,,,,3,6.119999999999999,,39.951389,0.0,141.0,101671.973684,101600.0,101720.0,2510.785714,2465.0,2590.0,6654.615385,6305.0,6846.0
5.0,1685269233513.0,6,,,1,1,,,,4.708791,0.0,62.0,101182.541667,101000.0,101350.0,2545.980392,2351.0,2720.0,6737.285714,6605.0,6919.0
8.0,1685308193650.0,90,4,,,,156,,,79.786806,0.0,817.0,100482.105263,100400.0,100550.0,2442.133333,2376.0,2485.0,7169.59375,6368.0,7659.0
1.0,1685362088569.0,,,,,,,4.360000000000001,,2.166667,0.0,16.0,100514.206349,100400.0,100700.0,2456.514706,2219.0,2567.0,6051.25,4618.0,7265.0
17.0,1685535851460.0,,2,1,2,,26,2.42,,26.878788,0.0,106.0,100876.176471,100800.0,101000.0,2741.766667,2713.0,2784.0,6996.533333,6668.0,7554.0
8.0,1686167752908.0,10,,,,,13,,,84.704837,14.0,266.0,100067.314815,100000.0,100200.0,2567.857143,2495.0,2588.0,5855.571429,5192.0,6137.0
20.0,1686631492063.0,,,,,,,,,,,,,,,,,,,,
2.0,1683964971755.0,,,,,,17,,,36.555556,0.0,335.0,100943.571429,100600.0,101300.0,2591.357143,2529.0,2665.0,6018.3,5012.0,6302.0
4.0,1684941617995.0,2,,,1,,23,,,146.289699,22.0,253.0,101340.75,101200.0,101570.0,2523.7,2473.0,2569.0,5483.3,5038.0,6263.0
5.0,1684989458485.0,7,,,1,2,,,,17.630952,0.0,58.0,101398.75,101300.0,101550.0,2689.357143,2641.0,2720.0,4731.5,4447.0,4919.0
20.0,1686022292196.0,,,3,7,,,,,107.477859,0.0,282.0,100476.481481,100280.0,100700.0,2453.714286,2405.0,2522.0,5582.928571,5068.0,6476.0
9.0,1686049728902.0,,,1,1,7,54,,,114.66697,0.0,796.0,100640.47619,100480.0,100900.0,2636.541667,2613.0,2677.0,5116.25,4973.0,5785.0
12.0,1686315903877.0,,,,,,45,,,166.561911,0.0,599.0,100091.666667,100000.0,100220.0,2636.269231,2487.0,2809.0,4983.5,4713.0,5555.0
6.0,1683817628616.0,,,,,,,,,,,,,,,,,,,,
4.0,1684648562496.0,2,,,,,7,,,97.734286,0.0,242.0,100983.650794,100900.0,101060.0,2480.333333,2391.0,2528.0,6390.384615,5976.0,6656.0
19.0,1685356360541.0,,,,,,,7.18,,26.052083,0.0,62.0,100815.324074,100700.0,101000.0,2606.785714,2549.0,2645.0,6951.076923,6666.0,7037.0
11.0,1685527054679.0,,,1,,1,,6.539999999999999,,278.652829,0.0,1974.0,101078.75,101000.0,101210.0,2717.166667,2632.0,2868.0,5508.107143,5161.0,5937.0
1.0,1685626328477.0,,,,6,2,,4.57,,4.607143,0.0,27.0,100362.537879,100200.0,100520.0,2537.633333,2480.0,2640.0,5791.266667,5411.0,6383.0
15.0,1686576959136.0,,,,,,,,,,,,,,,,,,,,
7.0,1683714476697.0,,,,,,,,,,,,,,,,,,,,
19.0,1684488411752.0,7,,,3,7,,6.67,,71.398849,0.0,220.0,100588.717949,100500.0,100710.0,2658.333333,2646.0,2670.0,5806.0,5713.0,5854.0
10.0,1685119523313.0,28,9,3,7,,116,,14,52.597222,0.0,254.0,101498.684211,101400.0,101590.0,2433.846154,2419.0,2474.0,6081.923077,5929.0,6315.0
17.0,1685293176933.0,32,,8,5,,264,2.41,,46.633333,3.0,104.0,100894.473684,100800.0,101000.0,2746.821429,2697.0,2816.0,7078.0,6950.0,7268.0
15.0,1685552760296.0,40,,1,,,65,21.949999999999992,3,81.525253,0.0,202.0,100872.5,100700.0,101050.0,2785.071429,2708.0,2882.0,5374.615385,5190.0,5613.0
6.0,1686510522528.0,,,,,,,,,,,,,,,,,,,,
15.0,1686585905369.0,,,,,,,,,,,,,,,,,,,,
9.0,1683894699377.0,5,,1,,,23,,,37.583333,0.0,127.0,101602.592593,101500.0,101650.0,2273.571429,2239.0,2293.0,5858.692308,5696.0,5969.0
1.0,1684311365543.0,,1,,6,,1,4.72,,20.004762,0.0,48.0,100879.492481,100800.0,100960.0,2555.96875,2469.0,2653.0,4106.928571,3802.0,4283.0
4.0,1685094207057.0,1,,,1,,11,,,97.871429,0.0,251.0,101706.833333,101600.0,101840.0,2564.909091,2525.0,2608.0,5696.625,5012.0,6051.0
8.0,1685186366325.0,,,,,2,114,,,47.34359,0.0,734.0,101106.491228,101000.0,101180.0,2334.6,2197.0,2435.0,4936.538462,4693.0,5244.0
3.0,1685260529349.0,58,,,4,,110,,,50.113757,0.0,166.0,101257.857143,101100.0,101390.0,2702.333333,2485.0,2756.0,6332.1,5457.0,6919.0
10.0,1685700213474.0,34,1,2,3,,150,,,106.809091,0.0,229.0,99956.666667,99800.0,100100.0,2590.753846,2422.0,2637.0,6517.6,5903.0,6934.0
11.0,1685845195559.0,,,2,1,8,197,6.490000000000001,,180.531769,0.0,354.0,100804.318182,100700.0,100960.0,2855.366667,2780.0,2911.0,4625.107143,4111.0,5021.0
17.0,1685972573963.0,,,1,1,,9,2.4800000000000004,,30.382143,0.0,58.0,100859.52381,100800.0,100940.0,2959.178571,2926.0,3031.0,4693.384615,4348.0,5725.0
15.0,1686054370912.0,,14,,,,,25.48,,19.03373,0.0,46.0,100791.578947,100600.0,101020.0,2817.916667,2797.0,2862.0,4780.083333,4704.0,4853.0
14.0,1686150581899.0,,,,,,17,4.9,,48.962879,0.0,251.0,100712.058824,100600.0,100860.0,2900.2,2869.0,2924.0,4987.214286,4809.0,5745.0
4.0,1683737067360.0,,,,,,,,,,,,,,,,,,,,
11.0,1683940055072.0,,,3,,,1,0.0,,180.640576,23.0,357.0,101436.403509,101300.0,101610.0,2677.357143,2590.0,2717.0,4163.153846,3714.0,4609.0
15.0,1685295993827.0,77,6,2,,2,268,16.85,5,119.751667,3.0,194.0,101110.588235,101000.0,101200.0,2799.230769,2719.0,2896.0,6797.961538,6519.0,7424.0
10.0,1686062567726.0,2,1,2,,,96,,,48.833333,0.0,261.0,100589.25,100400.0,100810.0,2672.1875,2603.0,2743.0,5475.416667,4989.0,5978.0
4.0,1686240158938.0,44,,,,,,,3,78.300012,0.0,235.0,100244.583333,100100.0,100420.0,2596.6875,2467.0,2646.0,6855.384615,6482.0,7376.0
4.0,1684023590084.0,104,,,,1,87,,2,106.553664,2.0,237.0,100999.666667,100800.0,101240.0,2343.714286,2309.0,2361.0,5813.566667,4960.0,6651.0
10.0,1684860347227.0,5,,6,1,,14,,,42.566288,0.0,247.0,100771.929825,100600.0,101070.0,2424.714286,2404.0,2435.0,5173.0,4716.0,5727.0
11.0,1684932756971.0,,,1,,3,,,,156.433185,0.0,372.0,101330.882353,101200.0,101460.0,2640.714286,2587.0,2714.0,5015.384615,4777.0,5361.0
18.0,1685130670270.0,,,2,3,2,29,,,1.0,0.0,4.0,101508.596491,101400.0,101620.0,2407.692308,2401.0,2414.0,6787.153846,6534.0,6940.0
7.0,1686057530746.0,,,,4,,11,8.139999999999999,,188.386364,10.0,288.0,100696.25,100500.0,100960.0,2495.766667,2321.0,2589.0,5420.423077,4514.0,5723.0
8.0,1686325526174.0,,,,,,,,,,,,,,,,,,,,
10.0,1686490580486.0,,,,,,,,,,,,,,,,,,,,
9.0,1683721902624.0,,,,,,,,,,,,,,,,,,,,
17.0,1684053547438.0,4,,,2,,77,2.12,,42.575758,0.0,146.0,100754.736842,100700.0,100850.0,2587.461538,2568.0,2608.0,5748.071429,5450.0,6504.0
10.0,1684070189259.0,1,,1,,,71,,,20.444444,0.0,182.0,100802.75,100700.0,100890.0,2268.269231,2199.0,2285.0,5606.464286,4388.0,5929.0
10.0,1685114482348.0,28,9,3,7,,116,,14,52.597222,0.0,254.0,101498.684211,101400.0,101590.0,2433.846154,2419.0,2474.0,6081.923077,5929.0,6315.0
20.0,1685177610225.0,,,,,,,,,14.717949,0.0,34.0,101417.685185,101300.0,101510.0,2373.857143,2338.0,2398.0,6087.785714,5814.0,6397.0
4.0,1685242092955.0,109,,,3,,60,,1,160.149355,0.0,349.0,101527.460317,101400.0,101780.0,2632.846154,2613.0,2646.0,7067.615385,6706.0,7309.0
17.0,1685376936504.0,14,18,3,11,4,136,2.400000000000001,,45.171191,0.0,112.0,100758.333333,100700.0,100880.0,2738.255556,2584.0,2791.0,7450.004444,5654.0,7836.0
15.0,1686229117381.0,9,,1,,,65,4.83,,24.457576,0.0,178.0,100568.703704,100400.0,100700.0,2851.464286,2806.0,2950.0,5972.5,5580.0,6625.0
17.0,1686240531703.0,45,18,1,10,,85,2.38,,74.928855,35.0,126.0,99952.118056,99800.0,100130.0,3066.022222,2772.0,3251.0,4676.766667,3548.0,5871.0
8.0,1686421012028.0,,,,,,,,,,,,,,,,,,,,
15.0,1686588549879.0,,,,,,,,,,,,,,,,,,,,
7.0,1683813641325.0,,,,,,,,,,,,,,,,,,,,
4.0,1684038712461.0,38,,,,,35,,2,72.421569,0.0,239.0,100995.789474,100900.0,101090.0,2347.961538,2318.0,2371.0,6073.0,5546.0,6491.0
7.0,1684250274579.0,,,,,,,8.69,,3.8,0.0,9.0,100864.318182,100700.0,101160.0,2536.730769,2517.0,2553.0,7476.846154,7403.0,7607.0
15.0,1684409502334.0,,,1,,,31,23.81,,75.375,0.0,184.0,101104.035088,101000.0,101200.0,2847.966667,2794.0,2885.0,4837.142857,4577.0,5234.0
10.0,1684654812026.0,,,,,,,,,174.8,169.0,186.0,100740.396825,100700.0,100830.0,2535.653846,2524.0,2554.0,6049.615385,6038.0,6073.0
11.0,1685006346158.0,,,3,,,,44.78,,117.298666,0.0,372.0,101590.289855,101500.0,101730.0,2741.46875,2690.0,2794.0,4524.607143,4114.0,4995.0
8.0,1685034473833.0,,,,,,4,,,54.878472,4.0,360.0,100765.093168,100600.0,100970.0,2416.785714,2312.0,2490.0,3762.538462,3584.0,3908.0
1.0,1685156808750.0,1,,,2,,,78.07000000000001,,3.388889,0.0,16.0,101358.240741,101300.0,101420.0,2520.8,2338.0,2588.0,5644.904762,5217.0,6474.0
17.0,1685280705342.0,6,,1,1,,59,2.380000000000001,,23.307292,0.0,103.0,101097.666667,101000.0,101240.0,2767.571429,2700.0,2836.0,7336.464286,6977.0,7726.0
18.0,1685572378994.0,,,3,5,,21,,,6.513889,0.0,20.0,100690.0,100500.0,100840.0,2462.384615,2454.0,2480.0,7197.571429,6950.0,7613.0
17.0,1685870370544.0,1,,2,3,,63,2.49,,37.69011,0.0,131.0,100914.285714,100800.0,101000.0,2456.668056,2346.0,2779.0,5342.684783,4250.0,6065.0
20.0,1686105579187.0,,9,10,8,,,,,333.377778,38.0,448.0,100170.092593,100000.0,100490.0,2600.409091,2459.0,2693.0,5091.5,4650.0,5373.0
18.0,1684081160903.0,7,,1,4,2,63,,,5.944445,0.0,60.0,100527.25,100400.0,100660.0,2347.461538,2326.0,2379.0,6490.428571,6226.0,6745.0
15.0,1685186878582.0,39,,2,,,96,5.91,,64.785714,0.0,177.0,101732.708333,101680.0,101800.0,2891.714286,2858.0,2937.0,5216.142857,4848.0,5476.0
15.0,1685367147781.0,37,,,,1,228,93.1,3,106.484848,0.0,206.0,100940.294118,100800.0,101110.0,2736.14881,2509.0,2883.0,6650.977778,5302.0,7710.0
4.0,1685367885187.0,2,,,1,,21,,,53.184982,0.0,255.0,100967.587719,100900.0,101150.0,2529.461538,2498.0,2559.0,7538.384615,7422.0,7770.0
4.0,1685621263772.0,91,,,,,10,,3,85.816931,0.0,259.0,100754.351852,100600.0,100930.0,2585.214286,2555.0,2658.0,6291.153846,6040.0,6702.0
11.0,1685635332031.0,,,1,,,,6.230000000000001,,138.540351,0.0,305.0,100320.138889,100200.0,100600.0,2843.066667,2816.0,2863.0,5099.142857,4906.0,5298.0
6.0,1685644361130.0,2,,3,1,,30,,,167.094158,0.0,401.0,100323.309524,100200.0,100570.0,2394.857143,2359.0,2472.0,4734.1,4018.0,5552.0
10.0,1685979161365.0,30,1,7,4,,123,,3,169.31,12.0,248.0,100786.315789,100700.0,100930.0,2700.321429,2662.0,2741.0,5745.538462,5356.0,5975.0
11.0,1686044822701.0,,6,1,,4,42,0.0,,225.450256,0.0,1253.0,100774.444444,100600.0,101020.0,2845.572917,2671.0,2991.0,4707.666667,4473.0,5141.0
11.0,1683883197970.0,,,1,1,,,,,110.366667,0.0,271.0,101707.631579,101600.0,101790.0,2627.428571,2562.0,2685.0,4093.769231,3803.0,4629.0
4.0,1684053887620.0,38,,,,,35,,2,72.421569,0.0,239.0,100995.789474,100900.0,101090.0,2347.961538,2318.0,2371.0,6073.0,5546.0,6491.0
8.0,1684683172150.0,21,6,,,,44,,,164.69685,18.0,710.0,100201.111111,100100.0,100310.0,2402.035714,2229.0,2477.0,5303.653846,5173.0,5662.0
4.0,1685012842039.0,,,,1,,13,,,112.97,7.0,287.0,101594.666667,101500.0,101750.0,2559.384615,2539.0,2583.0,5991.525641,5373.0,6338.0
11.0,1685106107965.0,,,2,,,,6.29,,156.073732,0.0,448.0,101707.864583,101600.0,101820.0,2816.545455,2781.0,2847.0,4983.3,4790.0,5060.0
3.0,1685191375303.0,51,,,3,,45,,,66.651515,0.0,180.0,101698.333333,101600.0,101780.0,2656.161765,2455.0,2756.0,6232.666667,5440.0,6701.0
1.0,1685248400755.0,1,,,,,,4.500000000000001,,3.083333,0.0,19.0,100912.222222,100800.0,101030.0,2535.307692,2507.0,2585.0,6274.538462,5881.0,6595.0
7.0,1685279752339.0,2,,1,1,,20,7.660000000000002,,77.929167,0.0,331.0,101201.071429,101100.0,101320.0,2588.769231,2571.0,2600.0,6604.153846,6431.0,6970.0
17.0,1685351977007.0,1,1,4,12,2,122,2.5,,51.538265,0.0,135.0,100745.263158,100700.0,100900.0,2592.427778,2229.0,2819.0,7380.630833,4633.0,8385.0
4.0,1685449885690.0,1,,,,,3,,,89.965703,7.0,241.0,101006.944444,100900.0,101100.0,2496.666667,2457.0,2539.0,7026.785714,6933.0,7099.0
9.0,1685968313958.0,,,1,,,12,,,125.918519,16.0,768.0,100962.708333,100900.0,101050.0,2668.142857,2650.0,2697.0,5225.525641,4952.0,6196.0
9.0,1686064849612.0,50,,1,4,,40,,,77.329266,16.0,251.0,100348.333333,100200.0,100600.0,2663.875,2639.0,2701.0,5338.375,5180.0,5900.0
17.0,1686653040060.0,,,,,,,,,,,,,,,,,,,,
17.0,1686666195583.0,,,,,,,,,,,,,,,,,,,,
7.0,1683644569849.0,,,,,,,,,,,,,,,,,,,,
7.0,1683905060100.0,8,1,7,3,2,66,8.58,3,176.012338,0.0,328.0,101312.857143,101100.0,101490.0,2429.0,2404.0,2457.0,7103.166667,7060.0,7145.0
9.0,1684153907280.0,1,,2,,,31,,,29.063333,0.0,125.0,100669.130435,100500.0,100780.0,2317.0,2297.0,2329.0,5558.5,5342.0,5709.0
4.0,1684331760852.0,34,1,,2,,43,,,92.741111,23.0,318.0,101282.368421,101200.0,101390.0,2483.6,2423.0,2576.0,5818.452381,4776.0,6858.0
4.0,1684753740179.0,,,,,,7,,,25.244872,0.0,67.0,100798.875,100700.0,100910.0,2455.766667,2395.0,2498.0,6098.285714,5468.0,6375.0
11.0,1685100521294.0,,,2,,,,6.29,,156.073732,0.0,448.0,101707.864583,101600.0,101820.0,2816.545455,2781.0,2847.0,4983.3,4790.0,5060.0
