,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
189,3,1684050108495,8.006,0.25,18.858,0.955,91.702
190,7,1684050294996,9.812,2.548,21.865,1.738,75.718
191,2,1684051124965,6.675,0.899,54.889,0.255,108.186
192,19,1684051679658,6.523,0.307,25.883,0.425,73.224
193,20,1684051702705,10.455,0.861,171.052,0.327,231.542
194,7,1684052937365,6.92,0.578,58.13,0.275,332.261
195,17,1684053547438,6.836,0.439,29.659,1.585,83.045
196,4,1684053887620,6.702,1.94,106.763,0.178,161.022
197,10,1684055016302,6.906,2.027,31.482,1.175,87.104
198,19,1684056720431,6.071,0.329,24.028,0.416,69.327
199,20,1684056744055,7.384,3.521,139.264,0.416,196.916
200,7,1684057977923,9.73,1.953,32.117,1.183,142.385
201,7,1684060620617,7.556,1.985,23.996,2.417,143.686
202,20,1684061783935,8.247,1.698,98.2,0.163,159.382
203,8,1684063189511,6.384,0.47,61.193,0.327,123.19
204,6,1684064605817,7.383,1.625,18.38,0.762,137.37
205,19,1684066802159,6.078,0.329,28.042,0.499,74.214
206,20,1684066824620,6.153,1.625,28.467,0.597,86.075
207,15,1684067298165,6.835,1.317,107.39,0.27,165.762
208,16,1684068192618,7.65,2.353,22.428,1.293,81.892
209,20,1684069546164,7.47,1.874,31.118,0.353,91.809
210,6,1684069646619,8.283,1.449,22.684,1.631,148.749
