uid,startTime,bluSensor_dB_mean,bluSensor_Temperature_mean,bluSensor_Humidity_mean,bluSensor_CO2_mean,bluSensor_TVOC_mean,bluSensor_Light_mean,bluSensor_Human_mean,bluSensor_dB_stddev,bluSensor_Temperature_stddev,bluSensor_Humidity_stddev,bluSensor_CO2_stddev,bluSensor_TVOC_stddev,bluSensor_Light_stddev,bluSensor_Human_stddev
8.0,1684606702709.0,52.01261370134186,23.604849833147952,33.87905450500552,17515.93659621802,34414.08453837597,0.0,0.0,16.219613503917145,0.03915668268597101,0.6254894709886408,620.5702666792735,825.6467273948244,0.0,0.0
8.0,1685196446718.0,47.67704919585034,25.91999999999953,39.68000000000024,663.0,1062.0,0.0,0.09566184649610679,3.9227483739900335,0.0,0.0,0.0,0.0,0.0,0.29429066355607486
8.0,1685206580286.0,66.40941694444294,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,8.570534847983089,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1685216713111.0,43.80124168415046,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0011111111111111111,6.500436209629174,0.0,0.0,0.0,0.0,0.0,0.03333333333333334
8.0,1685369993699.0,53.60087376609402,25.91999999999953,39.68000000000024,663.0,1062.0,0.0,0.0,8.705367040305147,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1685400235406.0,34.364382873661675,25.91999999999953,39.68000000000024,663.0,1062.0,0.0,0.0,1.7088664849080295,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1685308193650.0,39.26958037384635,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.10666666666666667,7.358068821930283,0.0,0.0,0.0,0.0,0.0,0.3088606209984682
8.0,1686167752908.0,42.59822667344962,26.69038888888889,39.18425555555563,11975.387777777778,30423.62,0.0,0.0,0.5467677921306959,0.0413880936070203,1.420384334874374,213.78663920589696,465.79545516370933,0.0,0.0
8.0,1685186366325.0,57.775982538077585,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,11.671035775594508,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1686325526174.0,47.90809212138167,27.630077864293604,37.68123470522809,891.3370411568409,484.46607341490545,0.0,0.0,6.7024549232272115,0.2571219294045831,0.5092274701391495,199.26108734910426,172.84757022785672,0.0,0.0
